                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73206,                0.69565,                      1,                0.65247,              0.0002346,              0.0002346,              0.0002346
                      2,                0.72706,                0.65217,                      1,                0.64313,             0.00046948,             0.00046948,             0.00046948
                      3,                  0.726,                0.73913,                      1,                0.57858,             0.00070122,             0.00070122,             0.00070122
                      4,                0.63708,                0.81739,                      1,                0.51682,             0.00069986,             0.00069986,             0.00069986
                      5,                0.56687,                0.85217,                      1,                0.47491,             0.00069986,             0.00069986,             0.00069986
                      6,                0.58707,                    0.8,                      1,                0.52216,             0.00069515,             0.00069515,             0.00069515
                      7,                0.62888,                 0.7913,                      1,                0.52115,             0.00069044,             0.00069044,             0.00069044
                      8,                0.62102,                0.74783,                      1,                0.52493,             0.00068573,             0.00068573,             0.00068573
                      9,                 0.5219,                0.84348,                      1,                0.49646,             0.00068101,             0.00068101,             0.00068101
                     10,                0.45214,                0.86087,                      1,                0.46686,              0.0006763,              0.0006763,              0.0006763
                     11,                0.50141,                0.81739,                      1,                0.46774,             0.00067159,             0.00067159,             0.00067159
                     12,                0.46687,                0.89565,                      1,                0.42889,             0.00066688,             0.00066688,             0.00066688
                     13,                0.44287,                0.88696,                      1,                0.45398,             0.00066216,             0.00066216,             0.00066216
                     14,                0.45637,                0.82609,                      1,                0.47992,             0.00065745,             0.00065745,             0.00065745
                     15,                0.38212,                0.82609,                      1,                0.49963,             0.00065274,             0.00065274,             0.00065274
                     16,                0.34989,                0.89565,                      1,                0.41818,             0.00064803,             0.00064803,             0.00064803
                     17,                0.30855,                0.84348,                      1,                0.46674,             0.00064331,             0.00064331,             0.00064331
                     18,                 0.2908,                0.88696,                      1,                0.41611,              0.0006386,              0.0006386,              0.0006386
                     19,                0.28019,                0.73913,                      1,                0.56763,             0.00063389,             0.00063389,             0.00063389
                     20,                0.28051,                0.87826,                      1,                 0.4245,             0.00062918,             0.00062918,             0.00062918
                     21,                0.25494,                0.85217,                      1,                0.44638,             0.00062446,             0.00062446,             0.00062446
                     22,                 0.2697,                0.83478,                      1,                0.46051,             0.00061975,             0.00061975,             0.00061975
                     23,                0.23023,                0.81739,                      1,                0.46338,             0.00061504,             0.00061504,             0.00061504
                     24,                0.24935,                0.83478,                      1,                0.47134,             0.00061033,             0.00061033,             0.00061033
                     25,                0.28221,                0.76522,                      1,                0.52069,             0.00060561,             0.00060561,             0.00060561
                     26,                0.17326,                    0.8,                      1,                   0.47,              0.0006009,              0.0006009,              0.0006009
                     27,                0.13642,                0.89565,                      1,                0.40024,             0.00059619,             0.00059619,             0.00059619
                     28,                0.18051,                 0.7913,                      1,                0.50104,             0.00059148,             0.00059148,             0.00059148
                     29,                0.18083,                0.87826,                      1,                0.42996,             0.00058677,             0.00058677,             0.00058677
                     30,                0.21898,                0.76522,                      1,                0.58536,             0.00058205,             0.00058205,             0.00058205
                     31,                0.20616,                0.88696,                      1,                0.43417,             0.00057734,             0.00057734,             0.00057734
                     32,                0.15977,                 0.8087,                      1,                0.50583,             0.00057263,             0.00057263,             0.00057263
                     33,                0.18177,                0.83478,                      1,                0.49033,             0.00056792,             0.00056792,             0.00056792
                     34,                0.18532,                    0.8,                      1,                0.47189,              0.0005632,              0.0005632,              0.0005632
                     35,                0.16966,                0.85217,                      1,                 0.4653,             0.00055849,             0.00055849,             0.00055849
                     36,                0.12754,                0.77391,                      1,                0.53925,             0.00055378,             0.00055378,             0.00055378
                     37,                0.11084,                0.86087,                      1,                0.42609,             0.00054907,             0.00054907,             0.00054907
                     38,                 0.1391,                0.84348,                      1,                0.46545,             0.00054435,             0.00054435,             0.00054435
                     39,                0.16482,                0.82609,                      1,                 0.4826,             0.00053964,             0.00053964,             0.00053964
                     40,                0.11839,                0.87826,                      1,                0.42511,             0.00053493,             0.00053493,             0.00053493
                     41,                0.12608,                0.91304,                      1,                0.39066,             0.00053022,             0.00053022,             0.00053022
                     42,                 0.1239,                0.74783,                      1,                  0.539,              0.0005255,              0.0005255,              0.0005255
                     43,                  0.131,                0.88696,                      1,                0.39667,             0.00052079,             0.00052079,             0.00052079
                     44,                0.10174,                0.86957,                      1,                 0.4296,             0.00051608,             0.00051608,             0.00051608
                     45,                0.10871,                0.81739,                      1,                0.47479,             0.00051137,             0.00051137,             0.00051137
                     46,                0.09703,                0.90435,                      1,                0.38763,             0.00050665,             0.00050665,             0.00050665
                     47,                0.08518,                0.91304,                      1,                0.39615,             0.00050194,             0.00050194,             0.00050194
                     48,                0.10068,                    0.8,                      1,                0.48297,             0.00049723,             0.00049723,             0.00049723
                     49,                 0.0837,                0.85217,                      1,                0.43036,             0.00049252,             0.00049252,             0.00049252
                     50,                0.07849,                0.86957,                      1,                 0.4437,              0.0004878,              0.0004878,              0.0004878
                     51,                0.09439,                0.87826,                      1,                0.42908,             0.00048309,             0.00048309,             0.00048309
                     52,                  0.065,                0.86957,                      1,                0.43802,             0.00047838,             0.00047838,             0.00047838
                     53,                0.06414,                0.85217,                      1,                0.44833,             0.00047367,             0.00047367,             0.00047367
                     54,                0.07398,                0.77391,                      1,                 0.4892,             0.00046896,             0.00046896,             0.00046896
                     55,                0.04822,                0.94783,                      1,                0.37567,             0.00046424,             0.00046424,             0.00046424
