                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71861,                 0.5913,                      1,                0.67908,              0.0002346,              0.0002346,              0.0002346
                      2,                0.73274,                0.62609,                      1,                 0.6734,             0.00046948,             0.00046948,             0.00046948
                      3,                0.72158,                0.73043,                      1,                0.60291,             0.00070122,             0.00070122,             0.00070122
                      4,                0.65518,                0.72174,                      1,                0.57019,             0.00069986,             0.00069986,             0.00069986
                      5,                0.57601,                0.78261,                      1,                0.53494,             0.00069986,             0.00069986,             0.00069986
                      6,                0.56961,                0.73913,                      1,                0.53189,             0.00069515,             0.00069515,             0.00069515
                      7,                0.53305,                0.73043,                      1,                0.55725,             0.00069044,             0.00069044,             0.00069044
                      8,                0.54703,                    0.8,                      1,                 0.4931,             0.00068573,             0.00068573,             0.00068573
                      9,                0.48443,                0.83478,                      1,                0.52496,             0.00068101,             0.00068101,             0.00068101
                     10,                0.42374,                0.86087,                      1,                0.47189,              0.0006763,              0.0006763,              0.0006763
                     11,                0.39103,                0.89565,                      1,                0.41562,             0.00067159,             0.00067159,             0.00067159
                     12,                 0.3525,                0.83478,                      1,                0.45203,             0.00066688,             0.00066688,             0.00066688
                     13,                0.34738,                0.86957,                      1,                 0.4747,             0.00066216,             0.00066216,             0.00066216
                     14,                0.30453,                    0.8,                      1,                0.46265,             0.00065745,             0.00065745,             0.00065745
                     15,                0.35822,                0.87826,                      1,                 0.4213,             0.00065274,             0.00065274,             0.00065274
                     16,                0.32839,                0.83478,                      1,                0.47549,             0.00064803,             0.00064803,             0.00064803
                     17,                0.30046,                 0.8087,                      1,                0.49921,             0.00064331,             0.00064331,             0.00064331
                     18,                0.29581,                0.83478,                      1,                0.43582,              0.0006386,              0.0006386,              0.0006386
                     19,                0.29526,                0.86087,                      1,                0.45737,             0.00063389,             0.00063389,             0.00063389
