                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71445,                0.62609,                      1,                0.66687,              0.0002346,              0.0002346,              0.0002346
                      2,                0.72827,                0.67826,                      1,                0.62543,             0.00046948,             0.00046948,             0.00046948
                      3,                0.69331,                0.70435,                      1,                0.58899,             0.00070122,             0.00070122,             0.00070122
                      4,                0.63102,                    0.8,                      1,                0.53607,             0.00069986,             0.00069986,             0.00069986
                      5,                0.56443,                0.81739,                      1,                0.50766,             0.00069986,             0.00069986,             0.00069986
                      6,                0.55731,                0.77391,                      1,                0.52161,             0.00069515,             0.00069515,             0.00069515
                      7,                0.58638,                 0.8087,                      1,                0.49142,             0.00069044,             0.00069044,             0.00069044
                      8,                0.49372,                    0.8,                      1,                0.47467,             0.00068573,             0.00068573,             0.00068573
                      9,                0.46004,                0.81739,                      1,                0.49869,             0.00068101,             0.00068101,             0.00068101
                     10,                0.37807,                0.87826,                      1,                0.44086,              0.0006763,              0.0006763,              0.0006763
                     11,                 0.3726,                0.93043,                      1,                0.39438,             0.00067159,             0.00067159,             0.00067159
                     12,                0.39779,                0.82609,                      1,                0.47647,             0.00066688,             0.00066688,             0.00066688
                     13,                0.31797,                0.91304,                      1,                0.41614,             0.00066216,             0.00066216,             0.00066216
                     14,                0.35049,                0.88696,                      1,                0.41541,             0.00065745,             0.00065745,             0.00065745
                     15,                0.35808,                0.88696,                      1,                0.41995,             0.00065274,             0.00065274,             0.00065274
                     16,                0.31584,                0.87826,                      1,                0.45331,             0.00064803,             0.00064803,             0.00064803
                     17,                0.24642,                0.86957,                      1,                0.41891,             0.00064331,             0.00064331,             0.00064331
                     18,                0.22692,                0.87826,                      1,                0.43179,              0.0006386,              0.0006386,              0.0006386
                     19,                0.36592,                    0.8,                      1,                0.48825,             0.00063389,             0.00063389,             0.00063389
                     20,                0.29261,                0.83478,                      1,                0.47751,             0.00062918,             0.00062918,             0.00062918
                     21,                0.29046,                0.89565,                      1,                0.40668,             0.00062446,             0.00062446,             0.00062446
                     22,                 0.2493,                0.86087,                      1,                0.47083,             0.00061975,             0.00061975,             0.00061975
                     23,                0.23172,                0.88696,                      1,                 0.4101,             0.00061504,             0.00061504,             0.00061504
                     24,                0.21016,                0.88696,                      1,                0.41153,             0.00061033,             0.00061033,             0.00061033
                     25,                0.24583,                0.83478,                      1,                 0.4827,             0.00060561,             0.00060561,             0.00060561
                     26,                0.22112,                0.90435,                      1,                0.39371,              0.0006009,              0.0006009,              0.0006009
                     27,                0.19332,                0.87826,                      1,                0.41989,             0.00059619,             0.00059619,             0.00059619
                     28,                0.17854,                0.88696,                      1,                0.40619,             0.00059148,             0.00059148,             0.00059148
                     29,                0.20881,                0.90435,                      1,                0.40665,             0.00058677,             0.00058677,             0.00058677
                     30,                0.14682,                0.92174,                      1,                0.39032,             0.00058205,             0.00058205,             0.00058205
                     31,                0.17447,                0.90435,                      1,                0.38516,             0.00057734,             0.00057734,             0.00057734
                     32,                0.15509,                0.86957,                      1,                0.49286,             0.00057263,             0.00057263,             0.00057263
                     33,                0.19107,                0.88696,                      1,                0.42273,             0.00056792,             0.00056792,             0.00056792
                     34,                0.15554,                0.81739,                      1,                 0.4433,              0.0005632,              0.0005632,              0.0005632
                     35,                0.12991,                0.82609,                      1,                0.46155,             0.00055849,             0.00055849,             0.00055849
                     36,                0.17234,                0.88696,                      1,                0.43286,             0.00055378,             0.00055378,             0.00055378
                     37,                0.17302,                0.87826,                      1,                0.42349,             0.00054907,             0.00054907,             0.00054907
                     38,                0.17645,                0.88696,                      1,                0.41498,             0.00054435,             0.00054435,             0.00054435
                     39,                0.15113,                 0.7913,                      1,                 0.5463,             0.00053964,             0.00053964,             0.00053964
                     40,                 0.1148,                0.86957,                      1,                0.41632,             0.00053493,             0.00053493,             0.00053493
                     41,                0.17244,                0.82609,                      1,                0.47592,             0.00053022,             0.00053022,             0.00053022
                     42,                0.10767,                0.86957,                      1,                0.44943,              0.0005255,              0.0005255,              0.0005255
                     43,                0.16106,                0.88696,                      1,                0.41479,             0.00052079,             0.00052079,             0.00052079
                     44,                0.13988,                 0.8087,                      1,                 0.4624,             0.00051608,             0.00051608,             0.00051608
                     45,                0.12781,                0.89565,                      1,                0.41608,             0.00051137,             0.00051137,             0.00051137
                     46,                 0.1024,                0.89565,                      1,                0.40942,             0.00050665,             0.00050665,             0.00050665
                     47,                0.07726,                0.93043,                      1,                 0.3739,             0.00050194,             0.00050194,             0.00050194
                     48,                 0.1135,                0.81739,                      1,                0.46545,             0.00049723,             0.00049723,             0.00049723
                     49,                0.11073,                0.91304,                      1,                0.37701,             0.00049252,             0.00049252,             0.00049252
                     50,                0.06105,                0.82609,                      1,                 0.4971,              0.0004878,              0.0004878,              0.0004878
                     51,                0.10502,                0.81739,                      1,                0.49643,             0.00048309,             0.00048309,             0.00048309
                     52,                 0.0791,                0.77391,                      1,                 0.5527,             0.00047838,             0.00047838,             0.00047838
                     53,                0.05871,                    0.8,                      1,                0.51492,             0.00047367,             0.00047367,             0.00047367
                     54,                0.09334,                0.93043,                      1,                0.41827,             0.00046896,             0.00046896,             0.00046896
                     55,                0.11477,                0.83478,                      1,                0.45145,             0.00046424,             0.00046424,             0.00046424
                     56,                0.11232,                 0.7913,                      1,                0.54886,             0.00045953,             0.00045953,             0.00045953
                     57,                0.10539,                0.89565,                      1,                0.42398,             0.00045482,             0.00045482,             0.00045482
                     58,                0.05441,                 0.8087,                      1,                0.45776,             0.00045011,             0.00045011,             0.00045011
                     59,                0.07328,                0.86957,                      1,                0.42575,             0.00044539,             0.00044539,             0.00044539
                     60,                0.03136,                0.81739,                      1,                0.46994,             0.00044068,             0.00044068,             0.00044068
                     61,                0.08657,                0.93043,                      1,                0.39166,             0.00043597,             0.00043597,             0.00043597
                     62,                0.09691,                0.93913,                      1,                0.38016,             0.00043126,             0.00043126,             0.00043126
                     63,                0.11048,                 0.8087,                      1,                0.49667,             0.00042654,             0.00042654,             0.00042654
                     64,                0.07324,                0.83478,                      1,                0.45514,             0.00042183,             0.00042183,             0.00042183
                     65,                0.07302,                0.85217,                      1,                0.42389,             0.00041712,             0.00041712,             0.00041712
                     66,                0.06827,                0.90435,                      1,                0.40964,             0.00041241,             0.00041241,             0.00041241
                     67,                0.07411,                0.81739,                      1,                0.49997,             0.00040769,             0.00040769,             0.00040769
                     68,                0.08429,                0.83478,                      1,                0.44321,             0.00040298,             0.00040298,             0.00040298
                     69,                0.08166,                0.90435,                      1,                0.39636,             0.00039827,             0.00039827,             0.00039827
                     70,                0.09782,                0.92174,                      1,                 0.3913,             0.00039356,             0.00039356,             0.00039356
                     71,                0.05759,                0.86957,                      1,                0.42664,             0.00038884,             0.00038884,             0.00038884
                     72,                0.06401,                0.92174,                      1,                0.39566,             0.00038413,             0.00038413,             0.00038413
                     73,                0.06798,                0.91304,                      1,                0.42047,             0.00037942,             0.00037942,             0.00037942
                     74,                0.06708,                0.89565,                      1,                0.41754,             0.00037471,             0.00037471,             0.00037471
                     75,                0.06043,                0.86087,                      1,                 0.4277,             0.00036999,             0.00036999,             0.00036999
                     76,                0.04546,                0.87826,                      1,                0.42484,             0.00036528,             0.00036528,             0.00036528
                     77,                 0.0737,                0.89565,                      1,                0.42221,             0.00036057,             0.00036057,             0.00036057
                     78,                0.04392,                0.83478,                      1,                0.47754,             0.00035586,             0.00035586,             0.00035586
                     79,                0.06295,                0.86957,                      1,                0.44669,             0.00035115,             0.00035115,             0.00035115
