id,cyto_area,pb_area,area_ratio
1-10,90843.0,1819.0,0.020023557126030624
1-11,98915.0,2158.5,0.021821766162867108
1-12,94375.5,1616.0,0.017123088089599524
1-13,98866.0,1976.5,0.019991705945421073
1-1,95672.0,2980.0,0.031148089305125845
1-2,94650.0,2628.5,0.027770734284204967
1-3,85579.5,2968.0,0.03468120285816113
1-4,92162.0,2846.0,0.030880406241184002
1-5,94232.5,3026.5,0.032117369272809275
1-6,94994.5,3178.5,0.03345983188500387
1-7,93728.5,2136.5,0.02279456088596318
1-8,94582.5,2320.0,0.02452885047445352
1-9,97883.5,2920.5,0.029836489295948756
10-1,103066.5,2225.5,0.02159285509840734
10-2,96919.5,1981.5,0.020444802129602403
10-3,106058.5,1906.5,0.017975928379149242
10-4,98545.5,2567.0,0.02604888097376339
11-1,98194.0,3286.0,0.033464366458235736
11-2,93871.0,2500.0,0.026632293253507473
12-1,94702.0,1991.5,0.0210291229329898
12-2,107692.0,3375.5,0.03134401812576607
12-3,100167.0,1932.0,0.019287789391715833
12-4,99841.0,2128.0,0.02131388908364299
12-5,97811.5,1489.5,0.015228270704365028
13-10,92253.5,2946.0,0.031933747771087276
13-11,88784.5,2186.0,0.024621414773975187
13-12,76370.0,2759.5,0.03613329841560822
13-1,93137.0,2242.5,0.02407743431718866
13-2,91938.5,2114.5,0.022999070030509525
13-3,96282.0,2366.0,0.024573648241623565
13-4,89770.5,2586.5,0.02881236040792911
13-5,93836.5,1112.0,0.011850399364852696
13-6,92260.0,2064.0,0.022371558638629958
13-7,90687.5,2026.5,0.022345968297725706
13-8,94612.5,3573.5,0.03776985070683049
13-9,97751.5,1687.5,0.017263162202114546
14-1,98325.0,1971.0,0.020045766590389015
14-2,93441.0,2177.0,0.023298123949872112
14-3,92189.5,1789.0,0.01940568069031723
14-4,94582.0,3033.5,0.03207269882218604
14-5,88331.5,3340.5,0.03781776602910626
14-6,86242.5,2560.0,0.029683740615125954
14-7,93789.0,2849.5,0.030382027743125525
14-8,90493.5,2300.5,0.025421715371822286
15-1,93754.0,2028.0,0.02163107707404484
15-2,91305.0,3903.0,0.04274683752258913
15-3,86907.0,1936.0,0.022276686573003326
15-4,90843.5,2471.0,0.02720062525111868
15-5,86514.5,2825.5,0.032659265209878115
15-6,89817.0,2216.0,0.02467238941403075
15-7,90806.5,-,-
15-8,99177.5,2093.5,0.021108618386226716
16-1,97300.5,2902.0,0.02982512936726944
16-2,91022.0,-,-
16-3,95582.5,2337.5,0.024455313472654512
16-4,93923.0,2044.0,0.0217625075860013
16-5,86672.0,2423.5,0.02796174081594979
16-6,93538.0,2686.5,0.028720947636254785
17-1,96459.5,2559.5,0.026534452283082537
18-1,91564.0,2393.0,0.026134725437945042
18-2,97843.0,2874.5,0.029378698527232402
18-3,89662.0,-,-
18-4,98089.0,2608.0,0.02658809856354943
18-5,99447.5,-,-
18-6,89752.0,3016.5,0.03360927890186291
18-7,91516.5,1878.0,0.020520889675632262
19-10,90914.0,2592.0,0.0285104604351365
19-11,100422.0,2766.0,0.027543765310390152
19-12,94995.0,3633.0,0.03824411811147955
19-13,97767.5,1751.5,0.017914951287493288
19-14,100118.0,2705.5,0.02702311272698216
19-15,92115.0,2589.0,0.02810617163328448
19-16,103749.5,2776.0,0.026756755454243154
19-17,99679.0,1910.0,0.01916150844209914
19-18,92677.0,2845.5,0.03070341077074139
19-19,103778.0,2871.5,0.027669640964366242
19-1,100276.5,3301.0,0.0329189790230014
19-20,103990.0,2702.0,0.02598326762188672
19-21,97615.5,3525.0,0.036111068426633065
19-22,104534.5,2289.5,0.02190186015143326
